key	name	niceName	category	paying	id
67	AMD RX 580 8GB	amd-rx-580-8gb	GPU	0.000048	1946e0fa-f67c-41f1-8812-2bb30469b7e5
68	AMD RX 590 8GB	amd-rx-590-8gb	GPU	0.000050	38201ad7-3966-49e1-9642-2efcdcfb93e9
69	AMD RX Vega 56	amd-rx-vega-56	GPU	0.000069	bf606332-08bb-456f-b00c-f0f4e2e540e4
70	AMD RX Vega 64	amd-rx-vega-64	GPU	0.000073	314747b5-018f-4f71-a4c4-4be214d9e0ff
71	AMD Vega Frontier Edition	amd-vega-frontier-edition	GPU	0.000081	fdb09ec1-d062-44bb-9bd5-661c5398c01b
72	NVIDIA GTX 1050	nvidia-gtx-1050	GPU	0.000016	ecfb5a13-af4a-4475-a609-c84cf4a28a8e
73	NVIDIA GTX 1050 Ti	nvidia-gtx-1050-ti	GPU	0.000021	39462bf8-2a3f-4504-8a7c-869e288c9f6f
74	NVIDIA GTX 1060 3GB	nvidia-gtx-1060-3gb	GPU	0.000023	b8f0c647-0745-44bb-974a-6f5468f81299
75	NVIDIA GTX 1060 6GB	nvidia-gtx-1060-6gb	GPU	0.000039	869da26b-6e22-4819-8996-a19acfb9ec0d
76	NVIDIA GTX 1070	nvidia-gtx-1070	GPU	0.000058	5c76b698-a2d9-445c-aad4-38964dd35421
77	NVIDIA GTX 1070 Ti	nvidia-gtx-1070-ti	GPU	0.000061	9282809e-94ae-4cb3-a8db-8941d98f3d09
78	NVIDIA GTX 1080	nvidia-gtx-1080	GPU	0.000072	f0893a52-2ec5-4c03-bf3c-2d00695c6873
79	NVIDIA GTX 1080 Ti	nvidia-gtx-1080-ti	GPU	0.000092	6e88ab8b-7081-4170-84b5-a36686ec98fe
80	NVIDIA GTX 1650	nvidia-gtx-1650	GPU	0.000028	855d79d9-c360-4895-b0ba-1c9c1a0231e0
81	NVIDIA GTX 1660 Ti	nvidia-gtx-1660-ti	GPU	0.000057	182c129a-9432-471e-9ed6-bfedac26ae47
82	NVIDIA GTX 750 Ti	nvidia-gtx-750-ti	GPU	0.000007	b3d3329a-ff5a-4154-ad30-d0844fa1ce86
83	NVIDIA GTX 960	nvidia-gtx-960	GPU	0.000017	a9e4545b-dee1-4565-bf3a-51485c7d266f
84	NVIDIA GTX 970	nvidia-gtx-970	GPU	0.000035	a225ac9e-5f09-4b57-8574-1a590172f3b7
85	NVIDIA GTX 980	nvidia-gtx-980	GPU	0.000034	5cea1bca-f348-4246-b77d-17758d60ae88
86	NVIDIA GTX 980 Ti	nvidia-gtx-980-ti	GPU	0.000044	c4db66ae-6f84-4a22-965e-98c002a96f93
87	NVIDIA P104-100	nvidia-p104-100	GPU	0.000050	5a8d1455-d9dc-425d-8df1-d0565681da39
88	NVIDIA P106-100	nvidia-p106-100	GPU	0.000033	8fe1adf9-2963-4a5f-b224-486303220672
89	NVIDIA RTX 2060	nvidia-rtx-2060	GPU	0.000065	7b1e338c-d881-4afb-83d3-c91819ecae80
90	NVIDIA RTX 2070	nvidia-rtx-2070	GPU	0.000078	53f3cd31-e8ad-4c7d-bb38-fa8fc661d6a6
91	NVIDIA RTX 2080	nvidia-rtx-2080	GPU	0.000101	ff4c7c32-433d-4e00-8db9-809ee6bd6386
92	NVIDIA RTX 2080 Ti	nvidia-rtx-2080-ti	GPU	0.000177	eeb685a7-f5be-451b-849c-debb3c4cebd1
93	NVIDIA TITAN V	nvidia-titan-v	GPU	0.000191	93bd5502-85b8-40f3-9ac0-98893b4deb13
94	NVIDIA TITAN XP	nvidia-titan-xp	GPU	0.000080	41f10416-60f5-4e97-904f-48caf2b6b727
